Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Have you completed this demographics page before?,Current location,,"In what year were you born? (enter 4-digit birth year; for example, 1976)",What is the highest level of school you have completed or the highest degree you have received?,Are you male or female?,Provide a short 1-2 word name of one physical activity.,"Describe the physical activity clearly. For example, if you wrote ""hockey"" above, clarify whether you meant field hockey or ice hockey. If you wrote ""martial arts,"" clarify which specific martial arts you practice. If you wrote ""gym,"" clarify which specific activity you did at the gym.","If you have a physical disability, to what extent does it interfere with your ability to do this activity?",Provide a short 1-2 word name of another physical activity.,"Describe the second physical activity clearly. Please be specific enough so that our analyst can group your physical activities with other people' similar physical activities. For example, if you wrote ""football,"" clarify whether you meant soccer, Gridiron football, rugby, or Australian rules football.","If you have a physical disability, to what extent does it interfere with your ability to do this second activity?","During the activity, do you engage with a group or go it solo?",,How expert are you at these physical activities?,,How much skill is required?,How predictable is the action?,To what extent do you find new and fresh experiences during the activity?,To what extent are there opportunities to express creativity during the activity?,How complex is the action and the environment in which it takes place?,How clear and straightforward are the long-term goals?,How quickly do you know whether what you wanted to accomplish in the long term was successful?,"How clear and straightforward are the short-term, moment-to-moment goals?",How quickly do you know whether what you wanted to accomplish in the short term was successful?,Does your extraneous mental chatter temporarily shut down during the activity?,How much time do you feel like is spent waiting for the next step in the activity?,How much of your body is involved in the activity? Is it full-body or only part of your body?,How much control do you feel like you can exert over your performance?,"During the activity, to what extent do you feel like you are in the present moment?",How spontaneous is your action?,"During the activity, how important does the activity feel?",To what extent do you care about how others judge your performance?,"After engaging in the physical activity, to what extent do you feel great?",What is the risk of minor physical injury (more than just muscle soreness)?,What is the risk of serious physical injury?
,,03/29/2017 03:56:54 PM,03/29/2017 04:03:47 PM,,,,,,,"Galloway, NJ",USA,1996,Some college but no degree,Female,horseback riding,horseback riding in the English discipline,I do not feel hindered or do not have a physical disability.,Running,running outside on the track,I feel slightly hindered.,Solo,Solo,Expert or professional,Beginner,{{Q6}} requires much more skill than {{Q9}}.,{{Q9}} is somewhat more predictable than {{Q6}}.,{{Q6}} offers a much more novelty than {{Q9}}.,{{Q6}} admits much more creativity than {{Q9}}.,{{Q6}} is much more complex than {{Q9}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q9}} has somewhat more clear goals than {{Q6}}.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,Both involve my body to a roughly equal extent.,{{Q9}} permits somewhat more control than {{Q6}}.,Both bring me into the present to a roughly equal extent.,{{Q6}} feels like less effort than {{Q9}}.,{{Q6}} has much higher stakes than {{Q9}}.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",{{Q6}} is much more rewarding than {{Q9}}.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
,,03/29/2017 06:14:03 AM,03/29/2017 06:14:55 AM,,,,,,Yes,,,,,,running,,,swimming,,,,,,,,,,,,,,,,,,,,,,,,,,
,,03/28/2017 07:49:47 PM,03/28/2017 07:56:15 PM,,,,,,,Bath,UK,1994,Graduate degree,Male,Jogging,,I do not feel hindered or do not have a physical disability.,Badminton,,I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Competent amateur,{{Q9}} requires much more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a somewhat more novelty than {{Q6}}.,{{Q9}} admits somewhat more creativity than {{Q6}}.,{{Q9}} is somewhat more complex than {{Q6}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q6}} has much more clear goals than {{Q9}}.,Both offer roughly equally immediate feedback.,{{Q9}} turns off my mental chatter somewhat more than {{Q6}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,{{Q9}} involves somewhat more of my body than {{Q6}}.,{{Q9}} permits somewhat more control than {{Q6}}.,{{Q9}} brings me into the present somewhat more than {{Q6}}.,{{Q6}} feels like less effort than {{Q9}}.,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During {{Q9}}, I am somewhat more concerned about others' evaluations than during {{Q6}}.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.
,,03/28/2017 09:07:13 AM,03/28/2017 09:10:11 AM,,,,,,Yes,Münster,Germany,1991,Bachelor degree,Male,swimming,any style of swimming,I do not feel hindered or do not have a physical disability.,dancing,dancing at a party,I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Competent amateur,{{Q9}} requires somewhat more skill than {{Q6}}.,{{Q6}} is somewhat more predictable than {{Q9}}.,{{Q9}} offers a somewhat more novelty than {{Q6}}.,{{Q9}} admits somewhat more creativity than {{Q6}}.,{{Q9}} is somewhat more complex than {{Q6}}.,{{Q6}} has much more clear goals than {{Q9}}.,Both offer roughly equally immediate feedback.,{{Q6}} has somewhat more clear goals than {{Q9}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During {{Q9}}, I am somewhat more concerned about others' evaluations than during {{Q6}}.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.
,,03/27/2017 03:38:02 PM,03/27/2017 03:38:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,03/25/2017 11:26:52 AM,03/25/2017 11:28:02 AM,,,,,,,"Eutaw, AL",USA,1998,"High school degree or equivalent (e.g., GED)",Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,03/24/2017 08:19:08 AM,03/24/2017 08:23:10 AM,,,,,,,Vienna,Austria,1975,Bachelor degree,Male,mountainbiking,mountainbiking,I do not feel hindered or do not have a physical disability.,soccer,,I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Beginner,{{Q9}} requires much more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q6}} offers a much more novelty than {{Q9}}.,{{Q9}} admits much more creativity than {{Q6}}.,{{Q9}} is much more complex than {{Q6}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,Both offer roughly equally immediate feedback.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,{{ Q6 }} involves a lot more waiting than {{ Q9}}.,{{Q6}} involves much more of my body than {{Q9}}.,{{Q6}} permits much more control than {{Q9}}.,{{Q6}} brings me into the present much more than {{Q9}}.,{{Q6}} feels effortless compare to {{Q9}} where I have to struggle and force myself.,{{Q6}} has much higher stakes than {{Q9}}.,"During {{Q9}}, I am much more concerned about others' evaluations than during {{Q6}}.",{{Q6}} is much more rewarding than {{Q9}}.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,{{Q9}} has much more chance of serious physical injury compare to {{Q6}}.
,,03/23/2017 04:15:23 PM,03/23/2017 04:22:47 PM,,,,,,,"Denver, CO",United States,1958,Graduate degree,Male,Tennis,,I do not feel hindered or do not have a physical disability.,basketball,5on5 full court basketball,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Competent amateur,Both require roughly equal skill.,{{Q6}} is somewhat more predictable than {{Q9}}.,{{Q9}} offers a somewhat more novelty than {{Q6}}.,{{Q9}} admits somewhat more creativity than {{Q6}}.,{{Q9}} is somewhat more complex than {{Q6}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q9}} turns off my mental chatter somewhat more than {{Q6}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,{{Q9}} brings me into the present somewhat more than {{Q6}}.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",{{Q9}} is somewhat more rewarding than {{Q6}}.,{{Q9}} has much more chance of physical injury compare to {{Q6}}.,{{Q9}} has much more chance of serious physical injury compare to {{Q6}}.
,,03/23/2017 05:41:49 AM,03/23/2017 05:48:52 AM,,,,,,,hessen,germany,1987,Bachelor degree,Male,weight training,-,I do not feel hindered or do not have a physical disability.,snowboarding,-,I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Competent amateur,Both require roughly equal skill.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a much more novelty than {{Q6}}.,{{Q9}} admits much more creativity than {{Q6}}.,{{Q9}} is somewhat more complex than {{Q6}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q9}} turns off my mental chatter somewhat more than {{Q6}}.,Both involve about the same amount of waiting.,{{Q6}} involves somewhat more of my body than {{Q9}}.,{{Q6}} permits somewhat more control than {{Q9}}.,{{Q9}} brings me into the present much more than {{Q6}}.,{{Q9}} feels effortless compare to {{Q6}} where I have to struggle and force myself.,{{Q6}} has much higher stakes than {{Q9}}.,"During {{Q9}}, I am somewhat more concerned about others' evaluations than during {{Q6}}.",{{Q9}} is somewhat more rewarding than {{Q6}}.,{{Q9}} has much more chance of physical injury compare to {{Q6}}.,{{Q9}} has much more chance of serious physical injury compare to {{Q6}}.
,,03/22/2017 09:59:06 PM,03/22/2017 10:06:41 PM,,,,,,,Hanover Indiana,USA,1996,Some college but no degree,Female,Running ,Running on a treadmill ,I do not feel hindered or do not have a physical disability.,Soccer,"Soccer, the American kind.  ",I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Expert or professional,{{Q9}} requires much more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a much more novelty than {{Q6}}.,{{Q9}} admits somewhat more creativity than {{Q6}}.,{{Q9}} is much more complex than {{Q6}}.,{{Q6}} has somewhat more clear goals than {{Q9}}.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,{{ Q9}} involves a somewhat more waiting than {{ Q6}}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,{{Q9}} has much higher stakes than {{Q6}}.,"During {{Q9}}, I am much more concerned about others' evaluations than during {{Q6}}.",Both are roughly equally rewarding.,{{Q9}} has much more chance of physical injury compare to {{Q6}}.,{{Q9}} has much more chance of serious physical injury compare to {{Q6}}.
,,03/20/2017 05:05:21 PM,03/20/2017 05:11:13 PM,,,,,,,London,UK,1991,Bachelor degree,Female,yoga,,I feel slightly hindered.,football,"Football, not American footbal",I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Beginner,Both require roughly equal skill.,{{Q6}} is somewhat more predictable than {{Q9}}.,{{Q9}} offers a somewhat more novelty than {{Q6}}.,Both admit roughly the same amount of creativity.,{{Q6}} is somewhat more complex than {{Q9}}.,Both have equally clear goals.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,{{ Q9 }} involves a lot more waiting than {{ Q6 }}.,{{Q6}} involves much more of my body than {{Q9}}.,{{Q6}} permits somewhat more control than {{Q9}}.,{{Q6}} brings me into the present much more than {{Q9}}.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",{{Q6}} is much more rewarding than {{Q9}}.,{{Q9}} has much more chance of physical injury compare to {{Q6}}.,{{Q9}} has much more chance of serious physical injury compare to {{Q6}}.
,,03/18/2017 01:04:03 PM,03/18/2017 01:10:15 PM,,,,,,,Wrexham,Wales,1989,Graduate degree,Female,Running,Going for a run,I do not feel hindered or do not have a physical disability.,Walking,Going for a walk,I do not feel hindered or do not have a physical disability.,Solo,Solo,Expert or professional,Expert or professional,{{Q6}} requires somewhat more skill than {{Q9}}.,Both offer roughly equal predictability.,{{Q9}} offers a somewhat more novelty than {{Q6}}.,{{Q9}} admits somewhat more creativity than {{Q6}}.,Both are of roughly equal complexity.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,{{Q9}} brings me into the present somewhat more than {{Q6}}.,{{Q9}} feels like less effort than {{Q6}}.,{{Q6}} has somewhat higher stakes than {{Q9}}.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",{{Q6}} is somewhat more rewarding than {{Q9}}.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,The chance of serious physical injury is roughly equal.
,,03/14/2017 02:18:53 PM,03/14/2017 02:27:30 PM,,,,,,,"Clearwater, FL",USA,1965,Graduate degree,Male,Hiking,Hiking in mountains,I do not feel hindered or do not have a physical disability.,Running,"I usually run with my dogs, sometimes alone",I do not feel hindered or do not have a physical disability.,Group,Solo,Beginner,Competent amateur,Both require roughly equal skill.,{{Q9}} is much more predictable than {{Q6}}.,{{Q6}} offers a much more novelty than {{Q9}}.,{{Q6}} admits somewhat more creativity than {{Q9}}.,{{Q6}} is much more complex than {{Q9}}.,{{Q9}} has much more clear goals than {{Q6}}.,Both offer roughly equally immediate feedback.,{{Q6}} has somewhat more clear goals than {{Q9}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,{{Q6}} involves much more of my body than {{Q9}}.,{{Q9}} permits somewhat more control than {{Q6}}.,{{Q9}} brings me into the present much more than {{Q6}}.,{{Q9}} feels like less effort than {{Q6}}.,{{Q6}} has much higher stakes than {{Q9}}.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
,,03/13/2017 02:22:11 PM,03/13/2017 02:25:10 PM,,,,,,,Exeter. Devon,England,1994,Graduate degree,Female,yoga,assorted,I do not feel hindered or do not have a physical disability.,walking,"45 minutes, twice daily",I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Expert or professional,{{Q6}} requires much more skill than {{Q9}}.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,{{Q6}} is much more complex than {{Q9}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q6}} has much more clear goals than {{Q9}}.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,{{Q6}} involves somewhat more of my body than {{Q9}}.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During {{Q6}}, I am much more concerned about others' evaluations than during {{Q9}}.",{{Q6}} is somewhat more rewarding than {{Q9}}.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
,,03/10/2017 05:25:53 PM,03/10/2017 05:26:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,03/10/2017 02:02:47 AM,03/10/2017 02:03:01 AM,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,03/09/2017 04:50:56 PM,03/09/2017 04:51:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,03/09/2017 08:27:27 AM,03/09/2017 08:33:04 AM,,,,,,,London ,UK,1973,Bachelor degree,Female,gym,attending a variety of exercise machines,I feel slightly hindered.,walkin,moving your body in a pace,I feel slightly hindered.,Solo,Solo,Competent amateur,Expert or professional,{{Q6}} requires somewhat more skill than {{Q9}}.,{{Q9}} is much more predictable than {{Q6}}.,{{Q6}} offers a much more novelty than {{Q9}}.,{{Q6}} admits much more creativity than {{Q9}}.,{{Q6}} is much more complex than {{Q9}}.,{{Q9}} has much more clear goals than {{Q6}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,Both have equally clear goals.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,{{ Q6 }} involves a lot more waiting than {{ Q9}}.,Both involve my body to a roughly equal extent.,{{Q9}} permits somewhat more control than {{Q6}}.,Both bring me into the present to a roughly equal extent.,{{Q9}} feels like less effort than {{Q6}}.,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.
,,03/08/2017 03:29:52 PM,03/08/2017 03:31:34 PM,,,,,,,berlin,germany,1988,Bachelor degree,Female,tennis,tennis,I am more than slightly hindered.,basketball,,I am more than slightly hindered.,Solo,Group,Beginner,Beginner,Both require roughly equal skill.,{{Q6}} is much more predictable than {{Q9}}.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,Both have equally clear goals.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,Both have equally clear goals.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q9}} turns off my mental chatter somewhat more than {{Q6}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,{{Q9}} involves somewhat more of my body than {{Q6}}.,{{Q9}} permits somewhat more control than {{Q6}}.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,{{Q6}} has somewhat higher stakes than {{Q9}}.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,The chance of serious physical injury is roughly equal.
