Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Current location,,"In what year were you born? (enter 4-digit birth year; for example, 1976)",What is the highest level of school you have completed or the highest degree you have received?,Are you male or female?,Provide a short 1-2 word name of one physical activity.,"Describe the physical activity clearly. For example, if you wrote ""gym,"" clarify which specific activity you did at the gym. If you wrote ""martial arts,"" clarify which specific martial arts you practice. If you wrote ""hockey"" above, clarify whether you meant field hockey or ice hockey.","If you have a physical disability, to what extent does it interfere with your ability to do this activity?",Provide a short 1-2 word name of another physical activity.,"Describe the second physical activity clearly. Please be specific enough so that our analyst can group your physical activities with other people' similar physical activities. For example, if you wrote ""football,"" clarify whether you meant soccer, Gridiron football, rugby, or Australian rules football.","If you have a physical disability, to what extent does it interfere with your ability to do this second activity?","During the activity, do you engage with a group or go it solo?",,How expert are you at these physical activities?,,How much skill is required?,How predictable is the action?,To what extent do you find new and fresh experiences during the activity?,To what extent are there opportunities to express creativity during the activity?,How complex is the action and the environment in which it takes place?,How clear and straightforward are the long-term goals?,How quickly do you know whether what you wanted to accomplish in the long term was successful?,"How clear and straightforward are the short-term, moment-to-moment goals?",How quickly do you know whether what you wanted to accomplish in the short term was successful?,Does your extraneous mental chatter temporarily shut down during the activity?,How much time do you feel like is spent waiting for the next step in the activity?,How much of your body is involved in the activity? Is it full-body or only part of your body?,How much control do you feel like you can exert over your performance?,"During the activity, to what extent do you feel like you are in the present moment?",How spontaneous is your action?,"During the activity, how important does the activity feel?",To what extent do you care about how others judge your performance?,"After engaging in the physical activity, to what extent do you feel great?",What is the risk of minor physical injury (more than just muscle soreness)?,What is the risk of serious physical injury?,"Did you read all of the instructions and questions carefully? In your honest opinion, should we use your data in our analyses?"
,,02/26/2018 01:29:50 PM,02/26/2018 01:33:23 PM,,,,,,india,chennai,1991,Bachelor degree,Male,foot ball,good game ,I feel slightly hindered.,cricket,good game,I feel slightly hindered.,Group,Group,Competent amateur,Competent amateur,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is somewhat more predictable than {{Q5}}.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,{{Q8}} involves somewhat more of my body than {{Q5}}.,Both admit roughly equal control.,,Both require about the same extent of effort (both either effortless or effortful).,,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q8}} is somewhat more rewarding than {{Q5}}.,The chance of physical injury is roughly equal.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/26/2018 01:29:54 PM,02/26/2018 01:33:27 PM,,,,,,Houston Texas,USA,1986,Bachelor degree,Male,Rugby,Played rugby as a flanker.,I do not feel hindered or do not have a physical disability.,Basketball,Played basketball at gym.,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Competent amateur,{{Q5}} requires somewhat more skill than {{Q8}}.,{{Q8}} is somewhat more predictable than {{Q5}}.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,{{Q5}} is somewhat more complex than {{Q8}}.,Both have equally clear goals.,{{Q8}} has much more immediate feedback than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,{{Q5}} involves much more of my body than {{Q8}}.,{{Q8}} permits somewhat more control than {{Q5}}.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,{{Q8}} feels effortless compare to {{Q5}} where I have to struggle and force myself.,Both have roughly equal stakes.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/26/2018 01:23:26 PM,02/26/2018 01:31:01 PM,,,,,,"Erode, Tamilnadu",India,1990,Bachelor degree,Male,Cricket,,I do not feel hindered or do not have a physical disability.,Swimming,,I do not feel hindered or do not have a physical disability.,Group,Solo,Competent amateur,Competent amateur,Both require roughly equal skill.,{{Q8}} is somewhat more predictable than {{Q5}}.,Both offer roughly equal novelty.,{{Q8}} admits somewhat more creativity than {{Q5}}.,Both are of roughly equal complexity.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,{{Q8}} involves somewhat more of my body than {{Q5}}.,Both admit roughly equal control.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,Both require about the same extent of effort (both either effortless or effortful).,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q5}} is somewhat more rewarding than {{Q8}}.,The chance of physical injury is roughly equal.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,Yes
,,02/26/2018 01:21:20 PM,02/26/2018 01:22:25 PM,,,,,,"Chennai, TN",India,1990,Bachelor degree,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/26/2018 01:21:17 PM,02/26/2018 01:21:59 PM,,,,,,"Pullman, WA",USA,1992,Bachelor degree,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/26/2018 01:20:53 PM,02/26/2018 01:26:09 PM,,,,,,"Pima, AZ",USA,1967,Bachelor degree,Male,Golf,"Weekly golfing, usually 9 holes per visit.",I do not feel hindered or do not have a physical disability.,Walking,Walking 5 miles per day,I do not feel hindered or do not have a physical disability.,Group,Solo,Competent amateur,Expert or professional,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,{{Q5}} is much more complex than {{Q8}}.,Both have equally clear goals.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,{{Q8}} feels like less effort than {{Q5}}.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During {{Q5}}, I am much more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.,Yes
,,02/26/2018 01:19:29 PM,02/26/2018 01:27:56 PM,,,,,,"MADURAI,TN`",INDIA ,1990,Some college but no degree,Male,RUNNING ,RUNNING ,I feel slightly hindered.,GYM,FULL BODY WORKOUT ,I am more than slightly hindered.,Solo,Group,Competent amateur,Beginner,{{Q8}} requires much more skill than {{Q5}}.,Both offer roughly equal predictability.,{{Q8}} offers a somewhat more novelty than {{Q5}}.,{{Q8}} admits somewhat more creativity than {{Q5}}.,Both are of roughly equal complexity.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,Both involve my body to a roughly equal extent.,{{Q8}} permits somewhat more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,{{Q5}} feels like less effort than {{Q8}}.,{{Q5}} has much higher stakes than {{Q8}}.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/26/2018 01:19:39 PM,02/26/2018 01:25:58 PM,,,,,,"Saint Louis, MO",USA,1977,Bachelor degree,Female,hiking,Hiked a three-mile unpaved trail in the hills.,I do not feel hindered or do not have a physical disability.,step aerobics,Step aerobics using a guiding DVD and a five-inch plastic step,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q5}} requires somewhat more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q5}} offers a much more novelty than {{Q8}}.,Both admit roughly the same amount of creativity.,{{Q5}} is much more complex than {{Q8}}.,Both have equally clear goals.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,Both have equally clear goals.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,Both involve about the same amount of waiting.,{{Q5}} involves somewhat more of my body than {{Q8}}.,Both admit roughly equal control.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,{{Q5}} feels like less effort than {{Q8}}.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q5}} is somewhat more rewarding than {{Q8}}.,The chance of physical injury is roughly equal.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/26/2018 01:19:29 PM,02/26/2018 01:26:30 PM,,,,,,"Jasper,MO",USA,1989,"High school degree or equivalent (e.g., GED)",Male,Weight Lifting,Lifting weights in the gym.,I do not feel hindered or do not have a physical disability.,riding bike,Riding bike at the park,I do not feel hindered or do not have a physical disability.,Solo,Group,Expert or professional,Competent amateur,{{Q5}} requires somewhat more skill than {{Q8}}.,{{Q5}} is much more predictable than {{Q8}}.,{{Q8}} offers a somewhat more novelty than {{Q5}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q8}} has much more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,{{Q5}} involves somewhat more of my body than {{Q8}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q8}} feels effortless compare to {{Q5}} where I have to struggle and force myself.,{{Q5}} has much higher stakes than {{Q8}}.,"During {{Q5}}, I am much more concerned about others' evaluations than during {{Q8}}.",{{Q5}} is much more rewarding than {{Q8}}.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/26/2018 01:19:10 PM,02/26/2018 01:24:27 PM,,,,,,"Albany, NY",USA,1989,Graduate degree,Female,ice skating,"ice skating, specifically figure skating.",I do not feel hindered or do not have a physical disability.,running,"running, both outside and at the gym.",I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Beginner,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is somewhat more predictable than {{Q5}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q5}} is somewhat more complex than {{Q8}}.,{{Q8}} has much more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,{{Q5}} involves somewhat more of my body than {{Q8}}.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,{{Q5}} feels like less effort than {{Q8}}.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/26/2018 01:18:48 PM,02/26/2018 01:22:38 PM,,,,,,"Jacksonville, FL",USA,1982,Associate degree,Male,dance,general,I do not feel hindered or do not have a physical disability.,exercise,general,I do not feel hindered or do not have a physical disability.,Solo,Solo,Beginner,Beginner,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q5}} offers a much more novelty than {{Q8}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,{{Q8}} has much more clear goals than {{Q5}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,{{Q8}} has much more clear goals than {{Q5}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,Both involve about the same amount of waiting.,{{Q8}} involves somewhat more of my body than {{Q5}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q5}} brings me into the present much more than {{Q8}}.,{{Q5}} feels effortless compare to {{Q8}} where I have to struggle and force myself.,{{Q8}} has much higher stakes than {{Q5}}.,"During {{Q5}}, I am much more concerned about others' evaluations than during {{Q8}}.",{{Q5}} is much more rewarding than {{Q8}}.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.,Yes
,,02/26/2018 01:18:40 PM,02/26/2018 01:20:33 PM,,,,,,"Detroit, MI",USA,1982,Bachelor degree,Male,Running,,I do not feel hindered or do not have a physical disability.,Walking,,I do not feel hindered or do not have a physical disability.,Solo,Solo,Beginner,Beginner,Both require roughly equal skill.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,{{Q5}} has somewhat more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,{{Q8}} feels like less effort than {{Q5}}.,Both have roughly equal stakes.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q5}} has somewhat more chance of physical injury compare to {{Q8}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/26/2018 01:17:31 PM,02/26/2018 01:23:18 PM,,,,,,"Novato, CA",USA,1964,Associate degree,Male,Walking,taking walks around the block,,biking,riding a staionary bicycle,,Solo,Solo,Competent amateur,Beginner,{{Q8}} requires somewhat more skill than {{Q5}}.,Both offer roughly equal predictability.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q5}} is somewhat more complex than {{Q8}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,{{Q8}} permits somewhat more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.,Yes
,,02/26/2018 01:15:55 PM,02/26/2018 01:17:31 PM,,,,,,"Los Angeles, CA",USA,1997,Some college but no degree,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/26/2018 01:15:23 PM,02/26/2018 01:18:15 PM,,,,,,"NEW PORT RICHEY, FL",USA,1973,Some college but no degree,Male,KAYAKYING,KAYAKING... ON A RIVER.,I do not feel hindered or do not have a physical disability.,RUNNING,JOGGING IN THE PARK,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q5}} requires somewhat more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,{{Q5}} is much more complex than {{Q8}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,{{Q5}} brings me into the present much more than {{Q8}}.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.,Yes
